ms	required_at
MS_41385	878
MS_15284	908
MS_28467	908
MS_37691	908
MS_53154	2825
MS_10207	4411
MS_25004	7759
MS_20383	22927
MS_28050	22927
MS_51863	22927
MS_51682	24514
MS_5182	48229
MS_21093	70172
MS_69235	70172
MS_40139	73197
MS_45753	73197
MS_2842	74950
MS_15266	79506
MS_57018	79506
MS_28737	109058
MS_42200	109058
MS_63512	135534
MS_37235	139296
MS_11154	139389
MS_48713	153922
MS_73263	153922
MS_1278	171811
MS_25557	171811
MS_36285	171811
MS_66857	171811
MS_9076	171811
MS_27421	205541
MS_68906	205541
MS_8237	205541
MS_13386	208165
MS_44724	209474
MS_52149	223850
MS_5075	275820
MS_37503	293527
MS_42253	293527
MS_795	293527
MS_63682	338853
MS_67767	369944
MS_18473	409303
MS_52059	443834
MS_40967	449362
MS_3386	490168
MS_16735	531308
MS_6190	534194
MS_15934	570569
MS_7092	783895
MS_25973	792748
MS_27990	792748
MS_16235	837091
MS_25409	852172
MS_68630	857576
MS_48716	873145
MS_13897	895456
MS_35501	999673
MS_23612	1024104
MS_49162	1024104
MS_57541	1024104
MS_19585	1069857
MS_71910	1155422
MS_39057	1260045
MS_44585	1260045
MS_52106	1260045
MS_57649	1260045
MS_10916	1276840
MS_55085	1276840
MS_62568	1276840
MS_63434	1276840
MS_47353	1442152
MS_70648	1875356
MS_14728	1885294
MS_16475	1885294
MS_55238	1885294
MS_70153	1885294
MS_27342	1920364
MS_71844	1920364
MS_32135	2235156
MS_54249	2235156
MS_61372	2235156
MS_37575	2457409
MS_37027	2932847
MS_13825	3098300
MS_500	3098300
MS_6142	3098300
MS_71843	3207473
MS_48061	3238171
MS_47970	3319233
MS_56325	3319233
MS_67488	3319233
MS_69823	3319233
